Role,Start timecode,End timecode,Speaker,Transcript,,
Q,00:00:02;23,00:00:04;01,Sade,What is your full name? ,,
A,02:13:47;06,02:13:49;04,F86,Like how do you remember your dad. 
A,02:13:49;09,02:14:06;22,F82,Yeah like my dad. How would you even like. The. Way. It. 
A,02:14:06;27,02:14:09;02,M17,Was. Oh. 
A,02:14:12;26,02:14:14;02,F80,Typical sweet. Growing up children. 
A,02:14:18;05,02:14:26;08,F78,Can say that there was any problems causing the headaches. You know. And. 
A,02:14:29;13,02:15:19;29,F57,It's just a pleasure for the families. It's all about us. That's all I know. So you know not just saying is it from the heart you know is. Do you know any stories about how your parents like. You know I don't even know how any. How do you. In this time you can't really get that. Yeah. They've met. 
A,02:15:23;02,02:15:29;13,F87,Their grandmother. So she met going to. Dance in Jersey. 
A,02:15:32;08,02:15:37;13,F88,I working there she met them. And that's that's not how she met you. 
A,02:15:37;13,02:15:40;18,F83,I bought it and that's how they met. 
A,02:15:41;02,02:15:47;23,F88,Like I used to be like dancing. I got the album every other weekend or something as old Jersey said no. 
A,02:15:48;02,02:16:15;21,F87,And that's how they met like their brother. Now. How they met. Your family have any special sayings or expression. Of. 
C,02:16:22;06,02:16:27;24,F82,You. Oh no. 
C,02:16:33;18,02:16:38;27,F89,Yeah. Oh. 
C,02:16:45;02,02:16:46;23,M16,Yeah. 
A,02:16:47;07,02:16:48;23,F78,And some of them. What the heck. 
A,02:16:48;23,02:16:57;22,F77,The son of a gun mean you know you say something is right son of a gun. 
C,02:16:58;02,02:17:05;09,F89,What is that. What a son of a gun. Come out. I don't know. I think it's like. 
A,02:17:08;21,02:17:14;06,M16,Really saying it right. 
A,02:17:14;06,02:17:16;17,F53,Just pass it out. 
A,02:17:17;05,02:17:26;09,F20,Anything else like that oh I used to say confound it. 
A,02:17:26;16,02:17:43;29,F6,I know how you spell it is. Confound it I can't find the darn thing. Oh yeah. Like the guy. Gun. 
A,02:17:48;09,02:18:22;29,F93,Bug can't think of anything special family traditions customs dish about food. 
A,02:18:23;22,02:18:47;27,F3,You said I like special birthdays just just the happy birthday song that we have for the birthday and Klaas's community. 
Q,02:18:49;08,02:18:59;26,F95,How old are you. How did you do. 
A,02:19:01;04,02:19:05;02,F6,You know I can't think of that. 
A,02:19:05;29,02:19:17;15,F3,That doesn't mean that your family do is just like yes and that's it. 
C,02:19:17;18,02:19:20;02,F92,Oh my goodness. 
A,02:19:26;15,02:19:56;02,F24,Oh it's just over the holidays. We just listened to the per se thing like. 
A,02:19:57;06,02:20:14;23,F51,Getting together and praying. That's right. Holding hands saying our prayers hugging kissing and OK I'll be right special. 
A,02:20:19;05,02:20:25;28,F97,So soulful and that's it. 
A,02:20:26;04,02:21:00;16,F98,So on the other days that's the birthday of the holidays and all those arrested in June like the recipes to make a big macaroni and cheese collard greens the potato salad Mac and cheese. 
A,02:21:00;21,02:21:05;24,F23,So this passed down down down down down. 
A,02:21:06;04,02:21:12;02,F12,Yes. So the same recipe pass right on the fringes. All right. 
A,02:21:20;06,02:21:23;20,F48,The recipes change. 
A,02:21:26;10,02:21:37;20,F19,Now was something you know I do. Basically the same as you're mixing. Well these mixed measures. This is basically the way of making. 
A,02:21:39;29,02:22:10;12,F12,Pretty much the same. Pretty much the same. Foods of the same foods that comes out especially in Turkey and you have a roast beef or ham and Mac and cheese all the things that we used to have the stuffing. 
A,02:22:14;02,02:22:41;17,F51,Yelled turned a green so college all the other this that it is you know make what mother has to make to make. That the main thing. 
A,02:22:41;19,02:23:03;22,F3,Before that was mother like other family raised on those things was that mother used to make it that and you think that's what we used to have you know. So what a lot of it is from. 
A,02:23:06;11,02:23:10;27,F48,When you did live on the farm what a lot of what it could be from a farm. 
A,02:23:11;10,02:23:17;27,F3,Oh yes. So kind of like making do with what she is. 
A,02:23:18;03,02:23:26;23,F51,And one of them is like that they have so like. 
A,02:23:34;22,02:24:33;28,F3,No. I. Was marrying them being gone. So when we were who some like I guess about stop when I see all old Gosset Marion Ong's and then they said having some problems with me. My thing was when the No. 
A,02:24:39;23,02:25:21;24,F94,So it only said things like that say three to years as well activities laughing and joking as well as the laughter that I have the fun that was that was the main thing I was about you know what I was happy that there was joking. 
A,02:25:29;29,02:25:53;14,F23,Absolutely and I see oh that was a birthday right. I'm. 
A,02:25:54;02,02:25:55;26,F10,Not close to half a minute. OK. 
A,02:26:03;17,02:26:25;28,F46,Always just play out right. Well it was always story. Oh family stories like this one or the other one something family member. 
A,02:26:31;17,02:26:34;05,F48,Family heirlooms or safe. 
A,02:26:34;16,02:26:55;25,F3,You know you like the senator what about things. 
A,02:26:57;25,02:27:43;28,F158,Oh I have things like that and think about trying think for a moment. This one's trying to think about you and your SO like some of those things that you just the jury rings I see it as a cause and as old as have been a lot of things you sister you and. I have locked up in something. 
A,02:27:44;15,02:28:04;13,F19,Like I can't that was called the thoughts and the memories and treasure those things. 
A,02:28:04;13,02:28:05;11,F46,Right. And one of. 
A,02:28:14;24,02:28:39;06,F45,The past that was just there when I was here with us on this nice thing right doubt pull them out of there. 
A,02:28:39;06,02:29:04;24,F16,Bring back the memories. Well I just have them here because it was as I can't say anything right now. To you. Oh really. Yes. And as I keep saying this but I don't the. 
